rxn	rxn_kegg	ec_code	ec_codes	direction	substrates_name	substrates_kegg	products_name	products_kegg	genes	uniprot	catalytic_enzyme	warning_ec	warning_enz	kcat	db	penalty_score	kcat_substrate	kcat_organism	kcat_enzyme	kcat_temperature	kcat_ph	kcat_variant	kcat_id_percent	kcat_organism_score
FUM	R01082	4.2.1.2	4.2.1.2	forward	Fumarate;H2O H2O	C00122;C00001	L-Malate	C00149	b1612	P0AC33	P0AC33			60.0	sabio_rk	3.0	Fumarate;H2O	Escherichia coli	Q8X769;Q8FHA7;P05042	25.0	7.5	wildtype	23.33	0.0
FUM	R01082	4.2.1.2	4.2.1.2	forward	Fumarate;H2O H2O	C00122;C00001	L-Malate	C00149	b4122	P14407	P14407			60.0	sabio_rk	3.0	Fumarate;H2O	Escherichia coli	Q8X769;Q8FHA7;P05042	25.0	7.5	wildtype	23.03	0.0
PTAr	R00230	2.3.1.8	2.3.1.8	reverse	Acetyl phosphate;Coenzyme A	C00227;C00010	Acetyl-CoA;Phosphate	C00024;C00009	b2458	P77218	P77218			227.0	brenda	3.0	acetyl phosphate	Escherichia coli	P0A9M8	30.0	8.0	wildtype	22.75	0.0
MALS	R00472	2.3.3.9	2.3.3.9	forward	Acetyl-CoA;Glyoxylate;H2O H2O	C00024;C00048;C00001	Coenzyme A;H+;L-Malate	C00010;C00080;C00149	b4014	P08997	P08997			48.1	brenda	3.0	glyoxylate	Escherichia coli		37.0	8.0	wildtype		0.0
MALS	R00472	2.3.3.9	2.3.3.9	forward	Acetyl-CoA;Glyoxylate;H2O H2O	C00024;C00048;C00001	Coenzyme A;H+;L-Malate	C00010;C00080;C00149	b2976	P37330	P37330			48.1	brenda	3.0	glyoxylate	Escherichia coli		37.0	8.0	wildtype		0.0
AKGDH	R08549	1.2.4.2	1.2.1.52;1.2.4.2;1.8.1.4;2.3.1.61	forward	2-Oxoglutarate;Coenzyme A;Nicotinamide adenine dinucleotide	C00026;C00010;C00003	CO2 CO2;Nicotinamide adenine dinucleotide - reduced;Succinyl-CoA	C00011;C00004;C00091	b0116;b0726;b0727	P0AFG3;P0A9P0;P0AFG6	P0AFG3			2.7	brenda	3.0	2-oxoglutarate	Escherichia coli		30.0	8.0	wildtype		0.0
RPI		5.3.1.6	5.3.1.6	forward	Alpha-D-Ribose 5-phosphate	C03736	D-Ribulose 5-phosphate	C00199	b2914	P0A7Z0	P0A7Z0			2100.0	sabio_rk	4.0	D-Ribose 5-phosphate	Escherichia coli	P0A7Z0	37.0	7.5	wildtype	100.0	0.0
RPI		5.3.1.6	5.3.1.6	reverse	D-Ribulose 5-phosphate	C00199	Alpha-D-Ribose 5-phosphate	C03736	b2914	P0A7Z0	P0A7Z0			2100.0	sabio_rk	4.0	D-Ribose 5-phosphate	Escherichia coli	P0A7Z0	37.0	7.5	wildtype	100.0	0.0
MDH	R00342	1.1.1.37	1.1.1.299;1.1.1.37	forward	L-Malate;Nicotinamide adenine dinucleotide	C00149;C00003	H+;Nicotinamide adenine dinucleotide - reduced;Oxaloacetate	C00080;C00004;C00036	b3236	P61889	P61889			931.0	brenda	4.0	oxaloacetate	Escherichia coli	P61889	30.0	7.5	wildtype	100.0	0.0
G6PDH2r	R00835	1.1.1.49	1.1.1.363;1.1.1.49	reverse	6-phospho-D-glucono-1,5-lactone;H+;Nicotinamide adenine dinucleotide phosphate - reduced	C01236;C00080;C00005	D-Glucose 6-phosphate;Nicotinamide adenine dinucleotide phosphate	C00092;C00006	b1852	P0AC53	P0AC53			288.0	sabio_rk	4.0	NAD+;D-Glucose 6-phosphate	Escherichia coli	P0AC53	25.0	8.0	wildtype	100.0	0.0
PTAr	R00230	2.3.1.8	2.3.1.8	forward	Acetyl-CoA;Phosphate	C00024;C00009	Acetyl phosphate;Coenzyme A	C00227;C00010	b2297	P0A9M8	P0A9M8			227.0	brenda	4.0	acetyl phosphate	Escherichia coli	P0A9M8	30.0	8.0	wildtype	100.0	0.0
GLUDy	R00248	1.4.1.4	1.4.1.13;1.4.1.3;1.4.1.4	reverse	2-Oxoglutarate;H+;Nicotinamide adenine dinucleotide phosphate - reduced;Ammonium	C00026;C00080;C00005;C00014	L-Glutamate;H2O H2O;Nicotinamide adenine dinucleotide phosphate	C00025;C00001;C00006	b1761	P00370	P00370			17.1	brenda	4.0	L-glutamate	Escherichia coli	P00370	22.0	8.0	wildtype	100.0	0.0
ACKr	R00315	2.7.2.1	2.7.2.1;2.7.2.15	reverse	Acetyl phosphate;ADP C10H12N5O10P2	C00227;C00008	Acetate;ATP C10H12N5O13P3	C00033;C00002	b3115	P11868	P11868			3600.0	brenda	4.0	acetyl phosphate	Escherichia coli	P0A6A3	25.0	7.5		37.33	0.0
ACKr	R00315	2.7.2.1	2.7.2.1;2.7.2.15	forward	Acetate;ATP C10H12N5O13P3	C00033;C00002	Acetyl phosphate;ADP C10H12N5O10P2	C00227;C00008	b3115	P11868	P11868			3062.9021	brenda	4.0	acetate	Escherichia coli	P0A6A3	32.5	7.5		37.33	0.0
RPE	R01529	5.1.3.1	5.1.3.1	forward	D-Ribulose 5-phosphate	C00199	D-Xylulose 5-phosphate	C00231	b3386	P0AG07	P0AG07			2.0	sabio_rk	4.0	D-Ribulose 5-phosphate	Escherichia coli	P32719		7.5	wildtype	31.03	0.0
RPE	R01529	5.1.3.1	5.1.3.1	forward	D-Ribulose 5-phosphate	C00199	D-Xylulose 5-phosphate	C00231	b4301	P39362	P39362			2.0	sabio_rk	4.0	D-Ribulose 5-phosphate	Escherichia coli	P32719		7.5	wildtype	26.36	0.0
ACKr	R00315	2.7.2.1	2.7.2.1;2.7.2.15	reverse	Acetyl phosphate;ADP C10H12N5O10P2	C00227;C00008	Acetate;ATP C10H12N5O13P3	C00033;C00002	b1849	P33221	P33221			3600.0	brenda	4.0	acetyl phosphate	Escherichia coli	P0A6A3	25.0	7.5		22.98	0.0
ACKr	R00315	2.7.2.1	2.7.2.1;2.7.2.15	forward	Acetate;ATP C10H12N5O13P3	C00033;C00002	Acetyl phosphate;ADP C10H12N5O10P2	C00227;C00008	b1849	P33221	P33221			3062.9021	brenda	4.0	acetate	Escherichia coli	P0A6A3	32.5	7.5		22.98	0.0
LDH_D	R00704	1.1.1.28	1.1.1.28	reverse	H+;Nicotinamide adenine dinucleotide - reduced;Pyruvate	C00080;C00004;C00022	D-Lactate;Nicotinamide adenine dinucleotide	C00256;C00003	b2133	P06149	P06149			410.0	brenda	4.0	pyruvate	Escherichia coli	A0A140N893	30.0	7.0		0.0	0.0
LDH_D	R00704	1.1.1.28	1.1.1.28	reverse	H+;Nicotinamide adenine dinucleotide - reduced;Pyruvate	C00080;C00004;C00022	D-Lactate;Nicotinamide adenine dinucleotide	C00256;C00003	b1380	P52643	P52643			410.0	brenda	4.0	pyruvate	Escherichia coli	A0A140N893	30.0	7.0		0.0	0.0
TPI	R01015	5.3.1.1	5.3.1.1	reverse	Glyceraldehyde 3-phosphate	C00661	Dihydroxyacetone phosphate	C00111	b3919	P0A858	P0A858			9000.0	brenda	4.0	D-glyceraldehyde 3-phosphate	Escherichia coli			7.6	wildtype		0.0
PGK	R01512	2.7.2.3	2.7.2.3	forward	3-Phospho-D-glycerate;ATP C10H12N5O13P3	C00197;C00002	3-Phospho-D-glyceroyl phosphate;ADP C10H12N5O10P2	C00236;C00008	b2926	P0A799	P0A799			1480.0	sabio_rk	4.0	ATP;3-Phospho-D-glycerate	Escherichia coli		22.0		wildtype		0.0
GLNS	R00253	6.3.1.2	6.3.1.2	forward	ATP C10H12N5O13P3;L-Glutamate;Ammonium	C00002;C00025;C00014	ADP C10H12N5O10P2;L-Glutamine;H+;Phosphate	C00008;C00064;C00080;C00009	b1297	P78061	P78061			131.7	brenda	4.0	L-glutamate	Escherichia coli		37.0	7.4			0.0
ACALD	R00228	1.2.1.10	1.2.1.10	forward	Acetaldehyde;Coenzyme A;Nicotinamide adenine dinucleotide	C00084;C00010;C00003	Acetyl-CoA;H+;Nicotinamide adenine dinucleotide - reduced	C00024;C00080;C00004	b0351	P77580	P77580			15.7	brenda	4.0	acetaldehyde	Escherichia coli		25.0	8.0			0.0
ACALD	R00228	1.2.1.10	1.2.1.10	forward	Acetaldehyde;Coenzyme A;Nicotinamide adenine dinucleotide	C00084;C00010;C00003	Acetyl-CoA;H+;Nicotinamide adenine dinucleotide - reduced	C00024;C00080;C00004	b1241	P0A9Q7	P0A9Q7			15.7	brenda	4.0	acetaldehyde	Escherichia coli		25.0	8.0			0.0
NADTRHD	R00112	1.6.1.2	1.6.1.1;1.6.1.2;1.6.1.3	forward	Nicotinamide adenine dinucleotide;Nicotinamide adenine dinucleotide phosphate - reduced	C00003;C00005	Nicotinamide adenine dinucleotide - reduced;Nicotinamide adenine dinucleotide phosphate	C00004;C00006	b3962	P27306	P27306	transferred		259.5	brenda	5.0	thio-NAD+	Escherichia coli	P27306	35.0	7.5		100.0	0.0
PGI		5.3.1.9	5.3.1.9	forward	D-Glucose 6-phosphate	C00092	D-Fructose 6-phosphate	C05345	b4025	P0A6T1	P0A6T1			1000.0	brenda	5.0	D-glucose 6-phosphate	Homo sapiens	P06744	30.0	7.5	wildtype	51.23	8.0
PGI		5.3.1.9	5.3.1.9	reverse	D-Fructose 6-phosphate	C05345	D-Glucose 6-phosphate	C00092	b4025	P0A6T1	P0A6T1			650.0	brenda	5.0	D-fructose 6-phosphate	Homo sapiens	P06744	30.0	7.5	wildtype	51.23	8.0
GND	R01528	1.1.1.44	1.1.1.351;1.1.1.44	forward	6-Phospho-D-gluconate;Nicotinamide adenine dinucleotide phosphate	C00345;C00006	CO2 CO2;Nicotinamide adenine dinucleotide phosphate - reduced;D-Ribulose 5-phosphate	C00011;C00005;C00199	b2029	P00350	P00350			64.5	brenda	5.0	6-phospho-D-gluconate	Synechocystis sp.	P52208	32.0	7.3	wildtype	45.48	7.0
ENO	R00658	4.2.1.11	4.2.1.11	forward	D-Glycerate 2-phosphate	C00631	H2O H2O;Phosphoenolpyruvate	C00001;C00074	b2779	P0A6P9	P0A6P9			60.6	sabio_rk	5.0	2-Phospho-D-glycerate	Oryctolagus cuniculus	P25704	25.0	6.1	wildtype	43.85	8.0
ALCD2x	R00754	1.1.1.1	1.1.1.1;1.1.1.71	forward	Ethanol;Nicotinamide adenine dinucleotide	C00469;C00003	Acetaldehyde;H+;Nicotinamide adenine dinucleotide - reduced	C00084;C00080;C00004	b1478	P39451	P39451			0.0492	brenda	5.0	ethanol	Geobacillus stearothermophilus	P42328	32.5	8.0	wildtype	42.11	7.0
TKT1		2.2.1.1	2.2.1.1	forward	Alpha-D-Ribose 5-phosphate;D-Xylulose 5-phosphate	C03736;C00231	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	b2465	P33570	P33570			46.3	sabio_rk	5.0	D-Xylulose 5-phosphate;D-Ribose 5-phosphate	Saccharomyces cerevisiae	P23254	25.0	7.6	wildtype	38.3	8.0
TKT2	R01830	2.2.1.1	2.2.1.1	forward	D-Erythrose 4-phosphate;D-Xylulose 5-phosphate	C00279;C00231	D-Fructose 6-phosphate;Glyceraldehyde 3-phosphate	C05345;C00661	b2465	P33570	P33570			46.3	sabio_rk	5.0	D-Xylulose 5-phosphate;D-Ribose 5-phosphate	Saccharomyces cerevisiae	P23254	25.0	7.6	wildtype	38.3	8.0
TPI	R01015	5.3.1.1	5.3.1.1	forward	Dihydroxyacetone phosphate	C00111	Glyceraldehyde 3-phosphate	C00661	b3919	P0A858	P0A858			600.0	sabio_rk	5.0	Glycerone phosphate	Gallus gallus	P00940	30.0	7.6	wildtype	38.19	8.0
ALCD2x	R00754	1.1.1.1	1.1.1.1;1.1.1.71	forward	Ethanol;Nicotinamide adenine dinucleotide	C00469;C00003	Acetaldehyde;H+;Nicotinamide adenine dinucleotide - reduced	C00084;C00080;C00004	b0356	P25437	P25437			0.14	sabio_rk	5.0	Ethanol;NAD+	Homo sapiens	P00325	25.0	7.5	wildtype	37.78	8.0
TKT1		2.2.1.1	2.2.1.1	reverse	Glyceraldehyde 3-phosphate;Sedoheptulose 7-phosphate	C00661;C05382	Alpha-D-Ribose 5-phosphate;D-Xylulose 5-phosphate	C03736;C00231	b2465	P33570	P33570			28.642	brenda	5.0	sedoheptulose 7-phosphate	Scheffersomyces stipitis	P34736	25.0	8.0	wildtype	37.56	8.0
TKT2	R01830	2.2.1.1	2.2.1.1	reverse	D-Fructose 6-phosphate;Glyceraldehyde 3-phosphate	C05345;C00661	D-Erythrose 4-phosphate;D-Xylulose 5-phosphate	C00279;C00231	b2465	P33570	P33570			26.87	brenda	5.0	D-fructose 6-phosphate	Scheffersomyces stipitis	P34736	25.0	8.0	wildtype	37.56	8.0
